dataset_id,access_type,base_url,endpoint_or_path,source_urls,auth_method,api_key_env,auth_header_template,api_key_scope,expected_format,refresh_hint,download_url
ds_011,api,https://api-challenge.odpt.org,/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api-challenge.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]
ds_012,file,https://api-challenge.odpt.org,/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api-challenge.odpt.org/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025]
ds_013,file,https://api.odpt.org,/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_014,file,https://api.odpt.org,/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_015,api,https://api.odpt.org,/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_016,api,https://api.odpt.org,/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,Protocol Buffers,realtime: 2-5 min,https://api.odpt.org/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_017,file,https://api.odpt.org,/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_018,file,https://api.odpt.org,/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_019,api,https://api-challenge.odpt.org,/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,	JSON,static: daily/weekly,https://api-challenge.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025]
ds_020,api,https://api.odpt.org,/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_021,api,https://api-public.odpt.org,/api/v4/gbfs/hellocycling/gbfs.json,https://api-public.odpt.org/api/v4/gbfs/hellocycling/gbfs.json,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GBFS,static: daily/weekly,https://api-public.odpt.org/api/v4/gbfs/hellocycling/gbfs.json
ds_022,api,https://api-public.odpt.org,/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GBFS,static: daily/weekly,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json
ds_023,,,,,none,,,,XML、CVS,static: daily/weekly,nan/nan
ds_024,,,,,none,,,,PDF、ZIP,static: daily/weekly,nan/nan
ds_025,file,https://www.opendata.metro.tokyo.lg.jp,/soumu/130001_evacuation_center.csv,https://www.opendata.metro.tokyo.lg.jp/soumu/130001_evacuation_center.csv,none,,,,CVS、PDF,static: daily/weekly,https://www.opendata.metro.tokyo.lg.jp/soumu/130001_evacuation_center.csv
ds_026,,,,,none,,,,,static: daily/weekly,nan/nan
ds_027,,,,,none,,,,,static: daily/weekly,nan/nan
ds_028,,,,,none,,,,獲取方式 (Method),static: daily/weekly,nan/nan
ds_029,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_030,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_031,,,,,none,,,,API (odpt:StationFacility),static: daily/weekly,nan/nan
ds_032,,,,,none,,,,爬蟲 / Deep Link,static: daily/weekly,nan/nan
ds_033,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_034,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_035,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_036,,,,,none,,,,CSV / API,static: daily/weekly,nan/nan
ds_037,,,,,none,,,,PDF / HTML,static: daily/weekly,nan/nan
ds_038,,,,,none,,,,Web 爬蟲,static: daily/weekly,nan/nan
ds_039,,,,,none,,,,,static: daily/weekly,nan/nan
ds_040,,,,,none,,,,,static: daily/weekly,nan/nan
ds_041,,,,,none,,,,,static: daily/weekly,nan/nan
ds_042,,,,,none,,,,,static: daily/weekly,nan/nan
ds_043,,,,,none,,,,,static: daily/weekly,nan/nan
ds_044,,,,,none,,,,,static: daily/weekly,nan/nan
ds_045,,,,,none,,,,,static: daily/weekly,nan/nan
ds_046,,,,,none,,,,,static: daily/weekly,nan/nan
ds_047,,,,,none,,,,,static: daily/weekly,nan/nan
ds_048,,,,,none,,,,,static: daily/weekly,nan/nan
ds_049,,,,,none,,,,,static: daily/weekly,nan/nan
ds_050,,,,,none,,,,,static: daily/weekly,nan/nan
ds_051,,,,,none,,,,,static: daily/weekly,nan/nan
ds_052,,,,,none,,,,,static: daily/weekly,nan/nan
ds_053,,,,,none,,,,,static: daily/weekly,nan/nan
ds_054,,,,,none,,,,,static: daily/weekly,nan/nan
ds_055,,,,,none,,,,,static: daily/weekly,nan/nan
ds_056,,,,,none,,,,,static: daily/weekly,nan/nan
ds_057,,,,,none,,,,,static: daily/weekly,nan/nan
ds_058,,,,,none,,,,,static: daily/weekly,nan/nan
ds_059,,,,,none,,,,,static: daily/weekly,nan/nan
ds_060,,,,,none,,,,,static: daily/weekly,nan/nan
ds_061,,,,,none,,,,,static: daily/weekly,nan/nan
ds_062,,,,,none,,,,,static: daily/weekly,nan/nan
ds_063,,,,,none,,,,,static: daily/weekly,nan/nan
ds_064,,,,,none,,,,,static: daily/weekly,nan/nan
ds_065,,,,,none,,,,,static: daily/weekly,nan/nan
ds_066,,,,,none,,,,,static: daily/weekly,nan/nan
ds_067,,,,,none,,,,,static: daily/weekly,nan/nan
ds_068,,,,,none,,,,,static: daily/weekly,nan/nan
ds_069,,,,,none,,,,,static: daily/weekly,nan/nan
ds_070,,,,,none,,,,,static: daily/weekly,nan/nan
ds_071,,,,,none,,,,,static: daily/weekly,nan/nan
ds_072,,,,,none,,,,,static: daily/weekly,nan/nan
ds_073,,,,,none,,,,,static: daily/weekly,nan/nan
